Point,Field,Direction,Position/Zone,Neighbors
1100,GASSE 1,IN,GASSE 1,"1101, 1515"
1101,GASSE 1,IN,GASSE 1,"1102, 1100"
1102,GASSE 1,IN,GASSE 1,"1103, 1101"
1103,GASSE 1,IN,GASSE 1,"1104, 1102"
1104,GASSE 1,IN,GASSE 1,"1105, 1103"
1105,GASSE 1,IN,GASSE 1,"1106, 1104"
1106,GASSE 1,IN,GASSE 1,"1107, 1105"
1107,GASSE 1,IN,GASSE 1,"1106, 1108"
1108,GASSE 1,IN,GASSE 1,"1107, 101101"
1110,GASSE 1,OUT,GASSE 1,"101100, 1111"
1111,GASSE 1,OUT,GASSE 1,"1110, 1112"
1112,GASSE 1,OUT,GASSE 1,"1111, 1113"
1113,GASSE 1,OUT,GASSE 1,"1112, 1114"
1114,GASSE 1,OUT,GASSE 1,"1113, 1115"
1115,GASSE 1,OUT,GASSE 1,"1114, 1116"
1116,GASSE 1,OUT,GASSE 1,"1115, 1117"
1117,GASSE 1,OUT,GASSE 1,"1116, 1118"
1118,GASSE 1,OUT,GASSE 1,"1117, 1510"
101100,GASSE 1,OUT,RBG1,"1110, Scheibe 1"
101101,GASSE 1,IN,RBG1,"1108, Scheibe 2"
Scheibe 1,GASSE 1,BOTH,GASSE 1,101100
Scheibe 2,GASSE 1,BOTH,GASSE 1,101101
1200,GASSE 2,IN,GASSE 2,"1201, 1525"
1201,GASSE 2,IN,GASSE 2,"1200, 1202"
1202,GASSE 2,IN,GASSE 2,"1201, 1203"
1203,GASSE 2,IN,GASSE 2,"1202, 1204"
1204,GASSE 2,IN,GASSE 2,"1203, 1205"
1205,GASSE 2,IN,GASSE 2,"1204, 1206"
1206,GASSE 2,IN,GASSE 2,"1205, 1207"
1207,GASSE 2,IN,GASSE 2,"1206, 1208"
1208,GASSE 2,IN,GASSE 2,"1207, 102101"
1210,GASSE 2,OUT,GASSE 2,"102100, 1211"
1211,GASSE 2,OUT,GASSE 2,"1210, 1212"
1212,GASSE 2,OUT,GASSE 2,"1211, 1213"
1213,GASSE 2,OUT,GASSE 2,"1212, 1214"
1214,GASSE 2,OUT,GASSE 2,"1213, 1215"
1215,GASSE 2,OUT,GASSE 2,"1214, 1216"
1216,GASSE 2,OUT,GASSE 2,"1215, 1217"
1217,GASSE 2,OUT,GASSE 2,"1216, 1218"
1218,GASSE 2,OUT,GASSE 2,"1217, 1520"
102100,GASSE 2,OUT,RBG2,"1210, Scheibe 3"
102101,GASSE 2,IN,RBG2,"1208, Scheibe 4"
Scheibe 3,GASSE 2,BOTH,GASSE 2,102100
Scheibe 4,GASSE 2,BOTH,GASSE 2,102101
1300,GASSE 3,IN,GASSE 3,"1301, 1535"
1301,GASSE 3,IN,GASSE 3,"1300, 1302"
1302,GASSE 3,IN,GASSE 3,"1301, 1303"
1303,GASSE 3,IN,GASSE 3,"1302, 1304"
1304,GASSE 3,IN,GASSE 3,"1303, 1305"
1305,GASSE 3,IN,GASSE 3,"1304, 1306"
1306,GASSE 3,IN,GASSE 3,"1305, 1307"
1307,GASSE 3,IN,GASSE 3,"1306, 1308"
1308,GASSE 3,IN,GASSE 3,"1307, 103101"
1310,GASSE 3,OUT,GASSE 3,"103100, 1311"
1311,GASSE 3,OUT,GASSE 3,"1310, 1312"
1312,GASSE 3,OUT,GASSE 3,"1311, 1313"
1313,GASSE 3,OUT,GASSE 3,"1312, 1314"
1314,GASSE 3,OUT,GASSE 3,"1313, 1315"
1315,GASSE 3,OUT,GASSE 3,"1314, 1316"
1316,GASSE 3,OUT,GASSE 3,"1315, 1317"
1317,GASSE 3,OUT,GASSE 3,"1316, 1318"
1318,GASSE 3,OUT,GASSE 3,"1317, 1530"
103100,GASSE 3,OUT,RBG3,"1310, Scheibe 5"
103101,GASSE 3,IN,RBG3,"1308, Scheibe 6"
Scheibe 5,GASSE 3,BOTH,GASSE 3,103100
Scheibe 6,GASSE 3,BOTH,GASSE 3,103101
1400,GASSE 4,IN,GASSE 4,"1401, 1545"
1401,GASSE 4,IN,GASSE 4,"1400, 1402"
1402,GASSE 4,IN,GASSE 4,"1401, 1403"
1403,GASSE 4,IN,GASSE 4,"1402, 1404"
1404,GASSE 4,IN,GASSE 4,"1403, 1405"
1405,GASSE 4,IN,GASSE 4,"1404, 1406"
1406,GASSE 4,IN,GASSE 4,"1405, 1407"
1407,GASSE 4,IN,GASSE 4,"1406, 1408"
1408,GASSE 4,IN,GASSE 4,"1407, 104101"
1410,GASSE 4,OUT,GASSE 4,"104410, 1411"
1411,GASSE 4,OUT,GASSE 4,"1410, 1412"
1412,GASSE 4,OUT,GASSE 4,"1411, 1413"
1413,GASSE 4,OUT,GASSE 4,"1412, 1414"
1414,GASSE 4,OUT,GASSE 4,"1413, 1415"
1415,GASSE 4,OUT,GASSE 4,"1414, 1416"
1416,GASSE 4,OUT,GASSE 4,"1415, 1417"
1417,GASSE 4,OUT,GASSE 4,"1416, 1418"
1418,GASSE 4,OUT,GASSE 4,"1417, 1540"
104410,GASSE 4,OUT,RBG4,"1410, Scheibe 7"
104101,GASSE 4,IN,RBG4,"1408, Scheibe 8"
Scheibe 7,GASSE 4,BOTH,GASSE 4,104410
Scheibe 8,GASSE 4,BOTH,GASSE 4,104101
1000,WARENEINGANG,IN,AU,1001
1001,WARENEINGANG,IN,WARENEINGANG,"1000, 1002"
1002,WARENEINGANG,BOTH,NIO,"1001, 1003"
1003,WARENEINGANG,BOTH,WARENEINGANG,"1002, 1004"
1004,WARENEINGANG,IN,WARENEINGANG,"1003, 1005"
1005,WARENEINGANG,IN,WARENEINGANG,"1004, 1006"
1006,WARENEINGANG,IN,WARENEINGANG,"1005, 1011"
1011,WARENEINGANG,IN,WARENEINGANG,"1006, 1012"
1012,WARENEINGANG,IN,WARENEINGANG,"1011, 1013"
1013,WARENEINGANG,IN,WARENEINGANG,"1012, 1015"
1015,WARENEINGANG,IN,WARENEINGANG,"1013, 1033"
1033,CONVEYER BELT,IN,CONVEYER BELT,"1015, 1035"
1035,CONVEYER BELT,IN,CONVEYER BELT,"1033, 1036"
1036,CONVEYER BELT,IN,CONVEYER BELT,"1035, 1037"
1037,CONVEYER BELT,IN,CONVEYER BELT,"1036, 1038"
1038,CONVEYER BELT,IN,CONVEYER BELT,"1037, 1040"
1040,CONVEYER BELT,IN,CONVEYER BELT,"1038, 1050"
1050,CONVEYER BELT,IN,CONVEYER BELT,"1040, 1051"
1051,CONVEYER BELT,IN,CONVEYER BELT,"1050, 1052"
1052,CONVEYER BELT,IN,CONVEYER BELT,"1051, 1053"
1053,CONVEYER BELT,IN,CONVEYER BELT,"1052, 1054"
1054,CONVEYER BELT,IN,CONVEYER BELT,"1053, 1055, 1809"
1055,CONVEYER BELT,IN,CONVEYER BELT,"1054, 1056"
1057,CONVEYER BELT,IN,CONVEYER BELT,"1055, 1057"
1058,CONVEYER BELT,IN,CONVEYER BELT,"1057, 1515"
1510,GASSE 1,OUT,GASSE 1,"1118, 1511"
1511,GASSE 1,OUT,GASSE 1,"1510, 1512"
1512,GASSE 1,OUT,GASSE 1,"1511, 1513"
1513,GASSE 1,OUT,GASSE 1,"1512, 1515"
1515,GASSE 1,BOTH,GASSE 1,"1058, 1513, 1100"
1520,GASSE 2,BOTH,GASSE 2,"1515, 1218, 1521"
1521,GASSE 2,BOTH,GASSE 2,"1520, 1522"
1522,GASSE 2,BOTH,GASSE 2,"1521, 1523"
1523,GASSE 2,BOTH,GASSE 2,"1522, 1525"
1525,GASSE 2,BOTH,GASSE 2,"1523, 1200, 1530"
1530,GASSE 3,BOTH,GASSE 3,"1525, 1318, 1531"
